Iteration,Reward,Accumulative Reward
419,0.43609166,176.28233
420,0.4511848,176.73352
421,0.44566205,177.17918
422,0.43622774,177.61542
423,0.3679643,177.98338
424,0.386194,178.36958
425,0.41839606,178.78798
426,0.4095726,179.19756
427,0.412753,179.6103
428,0.4167449,180.02705
429,0.42703804,180.45409
430,0.4016284,180.85571
431,0.37479505,181.23051
432,0.42350325,181.65402
433,0.42638427,182.08041
434,0.42108956,182.50151
435,0.4250706,182.92657
436,0.36344823,183.29002
437,0.41141203,183.70143
438,0.32731703,184.02875
439,0.41002086,184.43877
440,0.38694993,184.82571
441,0.41225153,185.23796
442,0.44348842,185.68144
443,0.39381063,186.07526
444,0.42565444,186.50092
445,0.4080463,186.90897
446,0.3999808,187.30894
447,0.38539642,187.69434
448,0.36797887,188.06232
449,0.3954405,188.45776
450,0.400393,188.85815
451,0.42645448,189.2846
452,0.0,189.2846
453,0.41512942,189.69974
454,0.4106988,190.11044
455,0.41284522,190.52328
456,0.38497385,190.90826
457,0.39294195,191.30121
458,0.0,191.30121
459,0.39169908,191.6929
460,0.36849254,192.0614
461,0.37944105,192.44084
462,0.40300494,192.84384
463,0.3942738,193.23811
464,0.0,193.23811
465,0.38906172,193.62718
466,0.39338994,194.02057
467,0.0,194.02057
468,0.37722272,194.3978
469,0.3844345,194.78223
470,0.0,194.78223
471,0.37043694,195.15266
472,0.36547455,195.51814
473,0.36344057,195.88158
474,0.3623487,196.24393
475,0.35703334,196.60097
476,0.35241714,196.95338
477,0.3393718,197.29276
478,0.34767187,197.64043
479,0.344684,197.9851
480,0.3532433,198.33835
481,0.35009864,198.68845
482,0.34531522,199.03377
483,0.0,199.03377
484,0.0,199.03377
485,0.34257847,199.37634
486,0.35071588,199.72707
487,0.0,199.72707
488,0.35110143,200.07817
489,0.33823556,200.41641
490,0.34135002,200.75777
491,0.3451933,201.10297
492,0.35024875,201.45322
493,0.3444532,201.79767
494,0.34620723,202.14388
495,0.3460401,202.48991
496,0.0,202.48991
497,0.34234095,202.83226
498,0.34671652,203.17897
499,0.3446605,203.52364
500,0.0,203.52364
501,0.3284553,203.8521
502,0.32239842,204.1745
503,0.3234073,204.49791
504,0.30925822,204.80717
505,0.0,204.80717
506,0.30322948,205.1104
507,0.2986914,205.40909
508,0.29322225,205.70232
509,0.28944224,205.99176
510,0.2746949,206.26645
511,0.25877112,206.52522
512,0.26983914,206.79506
513,0.2584677,207.05353
514,0.0,207.05353
515,0.33691183,207.39044
516,0.34141588,207.73186
517,0.34364557,208.0755
518,0.33978522,208.41528
519,0.34120786,208.75648
520,0.35915256,209.11563
521,0.35399044,209.46962
522,0.3201395,209.78976
523,0.35298353,210.14275
524,0.363569,210.50632
525,0.3657832,210.8721
526,0.3761785,211.24828
527,0.37840563,211.62668
528,0.3782167,212.0049
529,0.37320423,212.3781
530,0.377001,212.7551
531,0.37477085,213.12987
532,0.3773667,213.50723
533,0.34496456,213.8522
534,0.35148138,214.20369
535,0.37712166,214.58081
536,0.38708147,214.9679
537,0.3729259,215.34082
538,0.38322616,215.72404
539,0.3872179,216.11127
540,0.40211824,216.51338
541,0.39973494,216.91312
542,0.40307367,217.3162
543,0.4034297,217.71962
544,0.36539063,218.085
545,0.40566748,218.49068
546,0.40651724,218.8972
547,0.40872076,219.30592
548,0.4149614,219.72089
549,0.40371072,220.1246
550,0.42250454,220.5471
551,0.41836473,220.96547
552,0.37885323,221.34433
553,0.417372,221.7617
554,0.41225293,222.17395
555,0.41364062,222.58759
556,0.41727567,223.00487
557,0.41478488,223.41965
558,0.42498305,223.84464
559,0.42998654,224.27463
560,0.40994337,224.68457
561,0.43944317,225.12401
562,0.43518203,225.55919
563,0.43761402,225.9968
564,0.40624276,226.40305
565,0.42586154,226.8289
566,0.44803655,227.27695
567,0.44750813,227.72446
568,0.44981253,228.17427
569,0.4601109,228.63438
570,0.42077345,229.05516
571,0.45958358,229.51474
572,0.42763287,229.94237
573,0.44480786,230.38718
574,0.456348,230.84352
575,0.43259904,231.27612
576,0.46026617,231.73639
577,0.45671806,232.1931
578,0.44754642,232.64064
579,0.43573916,233.07639
580,0.46267232,233.53906
581,0.4607306,233.99979
582,0.4592777,234.45906
583,0.45505095,234.91411
584,0.4476336,235.36174
585,0.4484083,235.81015
586,0.4090171,236.21916
587,0.44648474,236.66565
588,0.43652707,237.10217
589,0.44360378,237.54578
590,0.4431896,237.98897
591,0.4496941,238.43866
592,0.4436222,238.88228
593,0.4363712,239.31865
594,0.4412388,239.75989
595,0.42594075,240.18582
596,0.0,240.18582
597,0.39766294,240.58348
598,0.4280162,241.01149
599,0.43422666,241.44571
600,0.42064548,241.86635
601,0.0,241.86635
602,0.40531334,242.27167
603,0.42536157,242.69702
604,0.43120798,243.12823
605,0.38518044,243.51341
606,0.43600142,243.94942
607,0.4210783,244.3705
608,0.42367026,244.79417
609,0.3984979,245.19267
610,0.0,245.19267
611,0.43937752,245.63205
612,0.42036712,246.05241
613,0.0,246.05241
614,0.45312226,246.50554
615,0.44783908,246.95338
616,0.4535872,247.40697
617,0.45925307,247.86623
618,0.41352984,248.27975
619,0.4514896,248.73125
620,0.4763438,249.2076
621,0.46549731,249.6731
622,0.48030427,250.1534
623,0.48149234,250.63489
624,0.4833787,251.11827
625,0.49081334,251.60909
626,0.4967287,252.10582
627,0.47743896,252.58325
628,0.4433803,253.02663
629,0.44821352,253.47484
630,0.45743716,253.93228
631,0.4743908,254.40668
632,0.47157747,254.87825
633,0.4580871,255.33633
634,0.47012147,255.80646
635,0.48792073,256.29437
636,0.47732812,256.7717
637,0.47850478,257.2502
638,0.48211518,257.73233
639,0.45591187,258.18823
640,0.51417047,258.7024
641,0.50107837,259.20346
642,0.49765363,259.7011
643,0.44185603,260.14297
644,0.40899888,260.55197
645,0.48573625,261.03772
646,0.42392197,261.46164
647,0.48614228,261.94778
648,0.406027,262.35382
649,0.45435366,262.80817
650,0.4452617,263.25342
651,0.440859,263.69427
652,0.4652456,264.15952
653,0.4466625,264.60617
654,0.4433386,265.0495
655,0.44572267,265.4952
656,0.4503006,265.9455
657,0.4563917,266.4019
658,0.45768458,266.85956
659,0.391664,267.25122
660,0.3684322,267.61966
661,0.4216174,268.0413
662,0.42336926,268.46466
663,0.39522028,268.8599
664,0.43187618,269.29178
665,0.43301538,269.7248
666,0.40271163,270.1275
667,0.39571023,270.52322
668,0.4274524,270.95068
669,0.38522077,271.3359
670,0.39931187,271.73523
671,0.39828703,272.1335
672,0.41423556,272.54776
673,0.41564688,272.9634
674,0.0,272.9634
675,0.0,272.9634
676,0.42415324,273.38757
677,0.4451199,273.8327
678,0.39889508,274.2316
679,0.44521844,274.67682
680,0.41997823,275.0968
681,0.43175834,275.52856
682,0.42357174,275.95215
